2.1 Organization Name,2.2 Project Name,2.4 ProjectType,2.5 Utilization Tracking Method (Invalid),2.6 Federal Grant Programs,5.8 Personal ID,5.9 Household ID,3.15 Relationship to HoH,3.16 Client Location,CaseMembers,3.10 Enroll Date,3.11 Exit Date,3.12 Exit Destination,3.2 Social Security Quality,3.3 Birthdate Quality,Age at Enrollment,Current Age,3.4 Race,3.5 Ethnicity,3.6 Gender,3.7 Veteran Status,3.8 Disabling Condition at Entry,3.917 Living Situation,3.917b Stayed Less Than 7 Nights,3.917 Stayed Less Than 90 Days,"3.917b Stayed in Streets, ES or SH Night Before",3.917 Length of Stay,3.917 Homeless Start Date,Length of Time Homeless (3.917 Approximate Start),3.917 Times Homeless Last 3 Years,3.917 Total Months Homeless Last 3 Years,V5 Last Permanent Address,V5 State,V5 Zip,Municipality (City or County),Days Enrolled in Project,RRH In Permanent Housing,RRH Date Of Move-In,Days Enrolled Until RRH Date of Move-in,4.1 Housing Status,4.4 Covered by Health Insurance,4.11 Domestic Violence,4.11 Domestic Violence - Currently Fleeing DV?,4.11 Domestic Violence - When it Occurred,4.13 Engagement Date,Days Enrolled Until Engagement Date,4.24 Current Status (Retired Data Element),4.24 In School (Retired Data Element),4.24 Connected to McKinney Vento Liason (Retired),Household Type,Latitude,Longitude,R1 Referral Source,R2 Date Status Determined,R2 Enroll Status,R2 Runaway Youth,R2 Reason Why No Services Funded,R3 Sexual Orientation,R4 Last Grade Completed,R5 School Status,R6 Employed Status,R6 Why Not Employed,R6 Type of Employment,R6 Looking for Work,R7 General Health Status,R8 Dental Health Status,R9 Mental Health Status,R10 Pregnancy Status,R10 Pregnancy Due Date,Client Record Restricted,InfoReleaseNo,Information Release Status,4.12 Contact Services,Date of Last Contact (Beta),Date of First Contact (Beta),Count of Bed Nights (Housing Check-ins),Date of Last ES Stay (Beta),Date of First ES Stay (Beta),4.2 Income Total at Entry,4.02 Total Income at Annual Update,4.2 Income Total at Exit,4.3 Non-Cash Benefit Count,4.3 Non-Cash Benefit Count at Exit,CurrentDate,Barrier Count at Entry,Chronic Homeless Status,ProgramType,SOAR Eligibility Determination (Most Recent),SOAR Enrollment Determination (Most Recent),RRH | Most Recent Enrollment,Street Outreach | Most Recent Enrollment,Coordinated Entry | Most Recent Enrollment,Emergency Shelter | Most Recent Enrollment,Transitional Housing | Most Recent Enrollment,PSH | Most Recent Enrollment,Prevention | Most Recent Enrollment,Under 25 Years Old,ClientID,4.10 Alcohol Abuse (Substance Abuse),4.07 Chronic Health Condition,4.06 Developmental Disability,4.10 Drug Abuse (Substance Abuse),4.08 HIV/AIDS,4.09 Mental Health Problem,4.05 Physical Disability,CaseChildren,CaseAdults,Bed Nights During Report Period,Count of Bed Nights - Entire Episode,HEN-HP Referral Most Recent,HEN-RRH Referral Most Recent,WorkSource Referral Most Recent,YAHP Referral Most Recent,4.04.10 Other Public,4.04.10 State Funded,4.04.11 Indian Health Services (IHS),4.04.12 Other,4.04.3 Combined Childrens HealthInsurance/Medicaid,4.04.3 Medicaid,4.04.4 Medicare,4.04.5 State Children's health Insurance S-CHIP,4.04.6 Veteran's Administration Medical Services,4.04.8 Health Insurance obtained through COBRA,4.04.7 Private - Employer,4.04.9 Private,4.04.9 Private - Individual,4.2.3a Earned Income,4.2.4b Unemployment Insurance,4.2.5c Supplemental Security Income,4.2.6d Social Security Disability  Income,4.2.7e VA Disability Compensation,4.2.8f VA Disability Pension,4.2.9g Private Disability Income,4.2.10h Workers Compensation,4.2.11i TANF,4.2.12j General Assistance,4.2.13k Retirement (Social Security),4.2.14l Pension from a Former Job,4.2.15m Child Support,4.2.16n Alimony,4.2.17o Other Income,Chronic Homeless Status_vHMISDatAssessment,Chronic Homeless Status_EvaluatevHMIS&HMISDA
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,85803,104657,Daughter,,3,8/18/2018 12:00 AM,10/1/2018 12:00 AM,Rental by client with RRH or equivalent subsidy,Client Refused,Full DOB Reported,2,4,Black or African American,Non-Hispanic/Latino,Female,,No,,,,,,,,,,,,,,44,,,No Move-In Date,,Yes,,,,,No Engagement Date,No,,,Household with Adults and Children,,,,,,,,,,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,2,10/15/2018 12:00 AM,8/18/2018 12:00 AM,68,10/29/2018 12:00 AM,8/18/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,09/06/2018 - 10/08/2018: CC--RRH--WA0288--Rapid Rehousing,,08/30/2018 - 12/31/2018: CC--CA-HFCA,08/18/2018 - 10/01/2018: FPS--ES--Open Doors,,07/01/2019 - Current: Transitions--PSH--Home Yard Cottages,,Yes,1,,,,,,,,1,2,68,68,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,99753,104658,Self,Spokane City & County CoC,2,8/17/2018 12:00 AM,8/25/2018 12:00 AM,No exit interview completed,Full SSN,Full DOB Reported,23,25,Native Hawaiian or Other Pacific Islander,Hispanic/Latino,Female,No,Yes,Place not meant for habitation,,,,"One week or more, but less than one month",9/8/2017 12:00 AM,351,Three times,11,Full address reported,WA,98837,,8,,,No Move-In Date,Category 1 - Homeless,Yes,No,,,8/23/2018 12:00 AM,6,,,,Household without Children,,,,,,,,,,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/17/2018 12:00 AM,8/17/2018 12:00 AM,1,8/24/2018 12:00 AM,8/24/2018 12:00 AM,,,,1,1,9/1/2020 12:20 PM,1,0,1,,,,,04/15/2020 - Current: CC--CA-HFCA,08/17/2018 - 08/25/2018: FPS--ES--Open Doors,,,,No,1,Alcohol Abuse,,,,,,,0,2,1,1,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,99756,104658,Significant Other (Non-Married),,2,8/17/2018 12:00 AM,8/25/2018 12:00 AM,No exit interview completed,Full SSN,Full DOB Reported,26,28,Multi-Racial,Hispanic/Latino,Male,No,Yes,Place not meant for habitation,,,,"One week or more, but less than one month",9/8/2017 12:00 AM,351,Three times,11,Full address reported,WA,98837,,8,,,No Move-In Date,Category 1 - Homeless,No,No,,,8/23/2018 12:00 AM,6,,,,Household without Children,,,,,,,,,,,No,Looking for work,,,,,,,,True,500,Client may be seen by others,1,8/17/2018 12:00 AM,8/17/2018 12:00 AM,1,8/24/2018 12:00 AM,8/24/2018 12:00 AM,,,,1,1,9/1/2020 12:20 PM,1,0,1,,,,,04/15/2020 - Current: CC--CA-HFCA,08/17/2018 - 08/25/2018: FPS--ES--Open Doors,,,,No,1,Alcohol Abuse,,,,,,,0,2,1,1,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,85817,104702,Self,Spokane City & County CoC,2,8/19/2018 12:00 AM,8/20/2018 12:00 AM,No exit interview completed,Client Refused,Full DOB Reported,29,31,White,Non-Hispanic/Latino,Female,No,Yes,"Staying or living in a friend's room, apartment or house",,,,Two to six nights,7/20/2018 12:00 AM,31,One time,More than 12 months,Full address reported,WA,99207,Spokane,1,,,No Move-In Date,Category 1 - Homeless,Yes,No,,,8/19/2018 12:00 AM,0,,,,Household with Adults and Children,47.69770180076488,-117.40577750821268,,,,,,,,,No,Looking for work,,,,,,,,True,500,Client may be seen by others,1,8/19/2018 12:00 AM,8/19/2018 12:00 AM,1,8/19/2018 12:00 AM,8/19/2018 12:00 AM,,,,1,1,9/1/2020 12:20 PM,1,0,1,,,11/30/2017 - 01/31/2018: CC Partnership--RRH--Rehousing (CHG),,11/22/2017 - 12/31/2018: CC--CA-HFCA,08/19/2018 - 08/20/2018: FPS--ES--Open Doors,,,,No,1,,,,,,Mental Illness,,1,1,1,1,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,85818,104702,Son,,2,8/19/2018 12:00 AM,8/20/2018 12:00 AM,No exit interview completed,Client Refused,Full DOB Reported,0,2,White,Non-Hispanic/Latino,Male,,No,,,,,,,,,,Full address reported,WA,99207,Spokane,1,,,No Move-In Date,,Yes,,,,,No Engagement Date,No,,,Household with Adults and Children,47.69770180076488,-117.40577750821268,,,,,,,No School Completed,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/19/2018 12:00 AM,8/19/2018 12:00 AM,1,8/19/2018 12:00 AM,8/19/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,11/30/2017 - 01/31/2018: CC Partnership--RRH--Rehousing (CHG),,11/22/2017 - 12/31/2018: CC--CA-HFCA,08/19/2018 - 08/20/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,1,1,1,1,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,85819,104752,Self,Spokane City & County CoC,3,8/20/2018 12:00 AM,8/22/2018 12:00 AM,No exit interview completed,Approximate or partial SSN reported,Full DOB Reported,42,44,American Indian or Alaska Native,Non-Hispanic/Latino,Female,No,No,Place not meant for habitation,,,,"One week or more, but less than one month",8/20/2013 12:00 AM,1828,Client doesn't know,More than 12 months,Full address reported,WA,99201,Spokane,2,,,No Move-In Date,Category 1 - Homeless,Yes,No,,,8/20/2018 12:00 AM,0,,,,Household with Adults and Children,47.66350405749575,-117.44226447567446,,,,,,,,,No,Looking for work,,,,,,,,True,500,Client may be seen by others,1,8/20/2018 12:00 AM,8/20/2018 12:00 AM,2,8/21/2018 12:00 AM,8/20/2018 12:00 AM,,,,1,1,9/1/2020 12:20 PM,0,0,1,,,,,,08/20/2018 - 08/22/2018: FPS--ES--Open Doors,,,,No,1,,,,,,,,1,2,2,2,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,85845,104752,Daughter,,3,8/20/2018 12:00 AM,8/22/2018 12:00 AM,No exit interview completed,Client doesn't know,Full DOB Reported,11,13,American Indian or Alaska Native,Non-Hispanic/Latino,Female,,No,,,,,,,,,,Full address reported,WA,99201,Spokane,2,,,No Move-In Date,,Yes,,,,,No Engagement Date,No,,Data Not Collected,Household with Adults and Children,47.66350405749575,-117.44226447567446,,,,,,,,Data not collected,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/20/2018 12:00 AM,8/20/2018 12:00 AM,2,8/21/2018 12:00 AM,8/20/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,,08/20/2018 - 08/22/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,1,2,2,2,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,77103,104752,Significant Other (Non-Married),,3,8/20/2018 12:00 AM,8/22/2018 12:00 AM,No exit interview completed,Approximate or partial SSN reported,Full DOB Reported,36,38,White,Non-Hispanic/Latino,Male,No,No,Place not meant for habitation,,,,"One week or more, but less than one month",8/20/2013 12:00 AM,1828,Client doesn't know,More than 12 months,,,,,2,,,No Move-In Date,Category 1 - Homeless,Yes,No,,,8/20/2018 12:00 AM,0,,,,Household with Adults and Children,,,,,,,,,,,No,Looking for work,,,,,,,,False,500,Client may be seen by others,1,8/20/2018 12:00 AM,8/20/2018 12:00 AM,2,8/21/2018 12:00 AM,8/20/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,08/29/2017 - 12/31/2018: SNAP--CA--SHCA,08/20/2018 - 08/22/2018: FPS--ES--Open Doors,,,,No,1,,,,,,,,1,2,2,2,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,85848,104757,Son,,3,8/20/2018 12:00 AM,8/22/2018 12:00 AM,No exit interview completed,Client doesn't know,Full DOB Reported,4,6,American Indian or Alaska Native,Non-Hispanic/Latino,Male,,No,,,,,,,,,,,,,,2,,,No Move-In Date,,,,,,,No Engagement Date,No,,No,Household with Adults and Children,,,,,,,,,No School Completed,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/20/2018 12:00 AM,8/20/2018 12:00 AM,2,8/21/2018 12:00 AM,8/20/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,,08/20/2018 - 08/22/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,2,1,2,2,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,85849,104757,Son,,3,8/20/2018 12:00 AM,8/22/2018 12:00 AM,No exit interview completed,Client doesn't know,Full DOB Reported,1,3,American Indian or Alaska Native,Non-Hispanic/Latino,Male,,Yes,,,,,,,,,,,,,,2,,,No Move-In Date,,No,,,,,No Engagement Date,No,,No,Household with Adults and Children,,,,,,,,,No School Completed,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/20/2018 12:00 AM,8/20/2018 12:00 AM,2,8/21/2018 12:00 AM,8/20/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,1,0,1,,,,,,08/20/2018 - 08/22/2018: FPS--ES--Open Doors,,,,Yes,1,,Chronic Health,,,,,,2,1,2,2,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,42011,104757,Self,Spokane City & County CoC,3,8/20/2018 12:00 AM,8/22/2018 12:00 AM,No exit interview completed,Approximate or partial SSN reported,Full DOB Reported,20,22,American Indian or Alaska Native,Non-Hispanic/Latino,Female,No,No,Place not meant for habitation,,,,"90 days or more, but less than one year",2/20/2018 12:00 AM,183,Three times,6,Incomplete or estimated address reported,MT,59855,,2,,,No Move-In Date,Category 1 - Homeless,No,No,,,8/20/2018 12:00 AM,0,,,,Household with Adults and Children,,,,,,,,,,,No,Looking for work,,,,,,,,True,500,Client may be seen by others,1,8/20/2018 12:00 AM,8/20/2018 12:00 AM,2,8/21/2018 12:00 AM,8/20/2018 12:00 AM,569,,569,1,1,9/1/2020 12:20 PM,0,0,1,,,,,,08/20/2018 - 08/22/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,2,1,2,2,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,60902,104837,Son,,2,8/1/2018 12:00 AM,8/29/2018 12:00 AM,"Staying or living with friends, temporary tenure (e.g., room, apartment or house)",Client Refused,Full DOB Reported,15,17,White,Non-Hispanic/Latino,Male,,Yes,,,,,,,,,,Full address reported,WA,99202,Spokane Valley,28,,,No Move-In Date,,Yes,,,,,No Engagement Date,Yes,,Yes,Household with Adults and Children,47.65630491020807,-117.34690188883727,,,,,,,,Attending school regularly,No,Not looking for work,,,,,,,,True,500,Client may be seen by others,1,8/1/2018 12:00 AM,8/1/2018 12:00 AM,2,8/27/2018 12:00 AM,8/26/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,2,0,1,,,10/11/2018 - 11/15/2018: CC--RRH--WA0302--Rapid Rehousing for Families,,05/16/2018 - 12/31/2018: CC--CA-HFCA,03/27/2019 - 04/11/2019: YFA--ES--Crisis Residential Center,,,,Yes,1,,,Developmental Disability,,,Mental Illness,,1,1,2,2,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,60901,104837,Self,Spokane City & County CoC,2,8/1/2018 12:00 AM,8/29/2018 12:00 AM,"Place not meant for habitation (e.g., a vehicle, an abandoned building, bus/train/subway station/airport or anywhere outside)",Full SSN,Full DOB Reported,54,56,White,Non-Hispanic/Latino,Male,No,Yes,Place not meant for habitation,,,,"90 days or more, but less than one year",2/1/2018 12:00 AM,209,Four or more times,12,Full address reported,WA,99202,Spokane Valley,28,,,No Move-In Date,Category 1 - Homeless,Yes,No,,,,No Engagement Date,,,,Household with Adults and Children,47.65630491020807,-117.34690188883727,,,,,,,,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/1/2018 12:00 AM,8/1/2018 12:00 AM,2,8/27/2018 12:00 AM,8/26/2018 12:00 AM,770,,1300,1,1,9/1/2020 12:20 PM,1,1,1,,,09/27/2019 - 10/31/2019: County--RRH--Singles RRH (179),,09/26/2019 - Current: SNAP--CA--SHCA,08/12/2019 - 09/30/2019: CC--ES--HOC Medical Respite,,,,No,1,,,Developmental Disability,,,,,1,1,2,2,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,75567,104838,Self,Spokane City & County CoC,2,8/27/2018 12:00 AM,9/10/2018 12:00 AM,No exit interview completed,Full SSN,Full DOB Reported,41,43,White,Non-Hispanic/Latino,Female,No,No,"Staying or living in a friend's room, apartment or house",,,,"One month or more, but less than 90 days",8/27/2015 12:00 AM,1110,Three times,More than 12 months,Full address reported,WA,99223,Spokane,14,,,No Move-In Date,Category 1 - Homeless,Yes,No,,,8/31/2018 12:00 AM,4,,,,Household with Adults and Children,47.635527347486985,-117.35865019202988,,,,,,,,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/27/2018 12:00 AM,8/27/2018 12:00 AM,7,9/6/2018 12:00 AM,8/27/2018 12:00 AM,883,,800,1,1,9/1/2020 12:20 PM,0,0,1,,,09/05/2018 - 11/01/2018: CC--RRH--WA0302--Rapid Rehousing for Families,,08/09/2018 - 12/31/2018: CC--CA-HFCA,08/27/2018 - 09/10/2018: FPS--ES--Open Doors,,,,No,1,,,,,,,,1,1,7,7,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,0,0,543,0,0,0,0,0,0,0,0,340,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,75568,104838,Daughter,,2,8/27/2018 12:00 AM,9/10/2018 12:00 AM,No exit interview completed,Full SSN,Full DOB Reported,17,19,White,Non-Hispanic/Latino,Female,No,Yes,,,,,,,,,,,,,,14,,,No Move-In Date,,Yes,,,,,No Engagement Date,Yes,,Yes,Household with Adults and Children,,,,,,,,,,Attending school regularly,No,Not looking for work,,,,,,,,False,500,Client may be seen by others,1,8/27/2018 12:00 AM,8/27/2018 12:00 AM,7,9/6/2018 12:00 AM,8/27/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,1,0,1,,,09/05/2018 - 11/01/2018: CC--RRH--WA0302--Rapid Rehousing for Families,12/31/2019 - Current: VOA--SSO--Youthreach,12/31/2019 - Current: SNAP--CA--SHCA,08/27/2018 - 09/10/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,Mental Illness,,1,1,7,7,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,84813,104897,Self,Spokane City & County CoC,4,8/13/2018 12:00 AM,11/6/2018 12:00 AM,Rental by client with RRH or equivalent subsidy,Full SSN,Full DOB Reported,23,25,Multi-Racial,Hispanic/Latino,Female,No,No,Place not meant for habitation,,,,"One month or more, but less than 90 days",7/2/2018 12:00 AM,127,Two times,7,,,,,85,,,No Move-In Date,Category 1 - Homeless,Yes,No,,,8/27/2018 12:00 AM,14,,,,Household with Adults and Children,,,,,,,,,,,No,Looking for work,,,,,,,,True,500,Client may be seen by others,22,11/5/2018 12:00 AM,8/26/2018 12:00 AM,53,11/4/2018 12:00 AM,8/27/2018 12:00 AM,608,,670,1,1,9/1/2020 12:20 PM,0,0,1,,,09/25/2018 - 11/05/2018: CC Partnership--RRH--Rehousing (CHG),,10/29/2018 - 12/31/2018: CC--CA-HFCA,08/13/2018 - 11/06/2018: FPS--ES--Open Doors,,07/01/2019 - Current: Transitions--PSH--Home Yard Cottages,,No,1,,,,,,,,2,2,53,53,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,84814,104897,Significant Other (Non-Married),,4,8/13/2018 12:00 AM,11/6/2018 12:00 AM,Rental by client with RRH or equivalent subsidy,Full SSN,Full DOB Reported,29,31,White,Hispanic/Latino,Male,No,Yes,Place not meant for habitation,,,,"One week or more, but less than one month",7/2/2018 12:00 AM,127,Two times,7,,,,,85,,,No Move-In Date,Category 1 - Homeless,Yes,No,,,8/27/2018 12:00 AM,14,,,,Household with Adults and Children,,,,,,,,,,,No,Looking for work,,,,,,,,False,500,Client may be seen by others,19,11/5/2018 12:00 AM,8/26/2018 12:00 AM,53,11/4/2018 12:00 AM,8/27/2018 12:00 AM,,,,1,0,9/1/2020 12:20 PM,1,0,1,,,09/25/2018 - 11/05/2018: CC Partnership--RRH--Rehousing (CHG),,10/29/2018 - 12/31/2018: CC--CA-HFCA,08/13/2018 - 11/06/2018: FPS--ES--Open Doors,,,,No,1,,,,,,Mental Illness,,2,2,53,53,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,84815,104897,Daughter,,4,8/13/2018 12:00 AM,11/6/2018 12:00 AM,Rental by client with RRH or equivalent subsidy,Full SSN,Full DOB Reported,1,3,White,Hispanic/Latino,Female,,No,,,,,,,,,,Full address reported,WA,99207,Spokane,85,,,No Move-In Date,,Yes,,,,,No Engagement Date,No,,,Household with Adults and Children,47.674944646091745,-117.40779716324732,,,,,,,,,No,Unable to work,,,,,,,,False,500,Client may be seen by others,3,10/1/2018 12:00 AM,8/26/2018 12:00 AM,54,11/4/2018 12:00 AM,8/27/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,09/25/2018 - 11/05/2018: CC Partnership--RRH--Rehousing (CHG),,10/29/2018 - 12/31/2018: CC--CA-HFCA,08/13/2018 - 11/06/2018: FPS--ES--Open Doors,,07/01/2019 - Current: Transitions--PSH--Home Yard Cottages,,Yes,1,,,,,,,,2,2,54,54,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,84816,104897,Daughter,,4,8/13/2018 12:00 AM,11/6/2018 12:00 AM,Rental by client with RRH or equivalent subsidy,Full SSN,Full DOB Reported,0,2,White,Hispanic/Latino,Female,,No,,,,,,,,,,,,,,85,,,No Move-In Date,,Yes,,,,,No Engagement Date,No,,,Household with Adults and Children,,,,,,,,,,,No,Unable to work,,,,,,,,False,500,Client may be seen by others,1,8/26/2018 12:00 AM,8/26/2018 12:00 AM,54,11/4/2018 12:00 AM,8/27/2018 12:00 AM,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,09/25/2018 - 11/05/2018: CC Partnership--RRH--Rehousing (CHG),,10/29/2018 - 12/31/2018: CC--CA-HFCA,08/13/2018 - 11/06/2018: FPS--ES--Open Doors,,07/01/2019 - Current: Transitions--PSH--Home Yard Cottages,,Yes,1,,,,,,,,2,2,54,54,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,86019,105002,Son,,4,8/30/2018 12:00 AM,9/30/2018 12:00 AM,Client refused,Approximate or partial SSN reported,Full DOB Reported,3,5,Multi-Racial,Non-Hispanic/Latino,Male,,No,,,,,,,,,,Full address reported,WA,99208,Spokane,31,,,No Move-In Date,,Data Not Collected,,,,,No Engagement Date,No,,No,Household with Adults and Children,47.711327917747084,-117.38124571076145,,,,,,,No School Completed,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/30/2018 12:00 AM,8/30/2018 12:00 AM,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,,08/30/2018 - 09/30/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,86020,105002,Son,,4,8/30/2018 12:00 AM,9/30/2018 12:00 AM,Client refused,Approximate or partial SSN reported,Full DOB Reported,1,3,Multi-Racial,Non-Hispanic/Latino,Male,,No,,,,,,,,,,Full address reported,WA,99208,Spokane,31,,,No Move-In Date,,Data Not Collected,,,,,No Engagement Date,No,,,Household with Adults and Children,47.711327917747084,-117.38124571076145,,,,,,,,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/30/2018 12:00 AM,8/30/2018 12:00 AM,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,,08/30/2018 - 09/30/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Promise of Spokane,FPS--ES--Open Doors,Emergency shelter,Night-by-Night (nbn),NAA,86021,105002,Son,,4,8/30/2018 12:00 AM,9/30/2018 12:00 AM,Client refused,Approximate or partial SSN reported,Full DOB Reported,0,2,Multi-Racial,Non-Hispanic/Latino,Male,,No,,,,,,,,,,Full address reported,WA,99208,Spokane,31,,,No Move-In Date,,Data Not Collected,,,,,No Engagement Date,No,,,Household with Adults and Children,47.711327917747084,-117.38124571076145,,,,,,,,,No,Unable to work,,,,,,,,True,500,Client may be seen by others,1,8/30/2018 12:00 AM,8/30/2018 12:00 AM,0,,,,,,0,0,9/1/2020 12:20 PM,0,0,1,,,,,,08/30/2018 - 09/30/2018: FPS--ES--Open Doors,,,,Yes,1,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
